year_week_date,dengue_total,temperature,humidity,rainfall
1957-12-30,2706,22.0,70.0,10.0
1958-12-29,160,22.0,70.0,10.0
1959-12-28,1851,22.0,70.0,10.0
1960-12-26,561,22.0,70.0,10.0
1962-01-01,5947,22.0,70.0,10.0
1962-12-31,2215,22.0,70.0,10.0
1963-12-30,7763,22.0,70.0,10.0
1964-12-28,4096,22.0,70.0,10.0
1965-12-27,5829,22.0,70.0,10.0
1966-12-26,2089,22.0,70.0,10.0
1968-01-01,6495,22.0,70.0,10.0
1968-12-30,8838,22.0,70.0,10.0
1969-12-29,3246,22.0,70.0,10.0
1970-12-28,12197,22.0,70.0,10.0
1971-12-27,25709,22.0,70.0,10.0
1973-01-01,18487,22.0,70.0,10.0
1973-12-31,14895,22.0,70.0,10.0
1974-12-30,28744,22.0,70.0,10.0
1975-12-29,16797,22.0,70.0,10.0
1976-12-27,51526,22.0,70.0,10.0
1977-12-26,21012,22.0,70.0,10.0
1979-01-01,19327,22.0,70.0,10.0
1979-12-31,50024,22.0,70.0,10.0
1980-12-29,32549,22.0,70.0,10.0
1981-12-28,28046,22.0,70.0,10.0
1982-12-27,46504,22.0,70.0,10.0
1983-12-26,83754,22.0,70.0,10.0
1984-12-31,96096,22.0,70.0,10.0
1985-12-30,46301,22.0,70.0,10.0
1986-12-29,205171,22.0,70.0,10.0
1987-12-28,74341,22.0,70.0,10.0
1988-12-26,85730,22.0,70.0,10.0
1990-01-01,121855,22.0,70.0,10.0
1990-12-31,78647,22.0,70.0,10.0
1991-12-30,63502,22.0,70.0,10.0
1992-12-28,99031,22.0,70.0,10.0
1993-02-01,700,24.0,70.0,20.0
1993-03-01,1299,27.0,70.0,40.0
1993-03-29,1889,29.0,70.0,80.0
1993-04-26,4164,30.0,70.0,150.0
1993-05-31,10327,29.0,70.0,300.0
1993-06-28,13575,28.0,70.0,350.0
1993-07-26,10865,28.0,70.0,320.0
1993-08-30,9329,28.0,70.0,280.0
1993-09-27,7350,27.0,70.0,150.0
1993-11-01,3843,25.0,70.0,50.0
1993-11-29,1772,23.0,70.0,15.0
1993-12-27,91157,22.0,70.0,10.0
1994-01-31,1063,24.0,70.0,20.0
1994-02-28,1643,27.0,70.0,40.0
1994-03-28,2283,29.0,70.0,80.0
1994-04-25,5989,30.0,70.0,150.0
1994-05-30,12171,29.0,70.0,300.0
1994-06-27,11635,28.0,70.0,350.0
1994-08-01,6453,28.0,70.0,320.0
1994-08-29,3480,28.0,70.0,280.0
1994-09-26,2028,27.0,70.0,150.0
1994-10-31,1001,25.0,70.0,50.0
1994-11-28,718,23.0,70.0,15.0
1994-12-26,106379,22.0,70.0,10.0
1995-01-30,571,24.0,70.0,20.0
1995-02-27,936,27.0,70.0,40.0
1995-03-27,1253,29.0,70.0,80.0
1995-05-01,3527,30.0,70.0,150.0
1995-05-29,8809,29.0,70.0,300.0
1995-06-26,12829,28.0,70.0,350.0
1995-07-31,14149,28.0,70.0,320.0
1995-08-28,9152,28.0,70.0,280.0
1995-09-25,4184,27.0,70.0,150.0
1995-10-30,1843,25.0,70.0,50.0
1995-11-27,662,23.0,70.0,15.0
1996-01-01,102791,22.0,70.0,10.0
1996-01-29,448,24.0,70.0,20.0
1996-02-26,717,27.0,70.0,40.0
1996-04-01,1056,29.0,70.0,80.0
1996-04-29,3625,30.0,70.0,150.0
1996-05-27,7086,29.0,70.0,300.0
1996-07-01,7464,28.0,70.0,350.0
1996-07-29,6119,28.0,70.0,320.0
1996-08-26,4087,28.0,70.0,280.0
1996-09-30,2922,27.0,70.0,150.0
1996-10-28,2143,25.0,70.0,50.0
1996-11-25,1095,23.0,70.0,15.0
1996-12-30,140370,22.0,70.0,10.0
1997-01-27,952,24.0,70.0,20.0
1997-02-24,1458,27.0,70.0,40.0
1997-03-31,1716,29.0,70.0,80.0
1997-04-28,4208,30.0,70.0,150.0
1997-05-26,10544,29.0,70.0,300.0
1997-06-30,15127,28.0,70.0,350.0
1997-07-28,20020,28.0,70.0,320.0
1997-09-01,16808,28.0,70.0,280.0
1997-09-29,12240,27.0,70.0,150.0
1997-10-27,9316,25.0,70.0,50.0
1997-12-01,6828,23.0,70.0,15.0
1997-12-29,225621,22.0,70.0,10.0
1998-01-26,6249,24.0,70.0,20.0
1998-02-23,9503,27.0,70.0,40.0
1998-03-30,7530,29.0,70.0,80.0
1998-04-27,11187,30.0,70.0,150.0
1998-06-01,20246,29.0,70.0,300.0
1998-06-29,22232,28.0,70.0,350.0
1998-07-27,19147,28.0,70.0,320.0
1998-08-31,11729,28.0,70.0,280.0
1998-09-28,6168,27.0,70.0,150.0
1998-10-26,3297,25.0,70.0,50.0
1998-11-30,1668,23.0,70.0,15.0
1998-12-28,56871,22.0,70.0,10.0
1999-02-01,1285,24.0,70.0,20.0
1999-03-01,1639,27.0,70.0,40.0
1999-03-29,1472,29.0,70.0,80.0
1999-04-26,2798,30.0,70.0,150.0
1999-05-31,3905,29.0,70.0,300.0
1999-06-28,2872,28.0,70.0,350.0
1999-07-26,2057,28.0,70.0,320.0
1999-08-30,1303,28.0,70.0,280.0
1999-09-27,1032,27.0,70.0,150.0
1999-11-01,871,25.0,70.0,50.0
1999-11-29,556,23.0,70.0,15.0
1999-12-27,85411,22.0,70.0,10.0
2000-01-31,435,24.0,70.0,20.0
2000-02-28,634,27.0,70.0,40.0
2000-03-27,641,29.0,70.0,80.0
2000-05-01,1321,30.0,70.0,150.0
2000-05-29,1872,29.0,70.0,300.0
2000-06-26,2139,28.0,70.0,350.0
2000-07-31,2172,28.0,70.0,320.0
2000-08-28,1830,28.0,70.0,280.0
2000-09-25,2035,27.0,70.0,150.0
2000-10-30,2419,25.0,70.0,50.0
2000-11-27,1999,23.0,70.0,15.0
2001-01-01,250712,22.0,70.0,10.0
2001-01-29,3790,24.0,70.0,20.0
2001-02-26,5077,27.0,70.0,40.0
2001-03-26,8115,29.0,70.0,80.0
2001-04-30,10117,30.0,70.0,150.0
2001-05-28,17974,29.0,70.0,300.0
2001-06-25,20977,28.0,70.0,350.0
2001-07-30,14429,28.0,70.0,320.0
2001-08-27,9138,28.0,70.0,280.0
2001-10-01,6484,27.0,70.0,150.0
2001-10-29,5922,25.0,70.0,50.0
2001-11-26,3821,23.0,70.0,15.0
2001-12-31,233531,22.0,70.0,10.0
2002-01-28,3059,24.0,70.0,20.0
2002-02-25,4030,27.0,70.0,40.0
2002-04-01,5281,29.0,70.0,80.0
2002-04-29,9639,30.0,70.0,150.0
2002-05-27,15064,29.0,70.0,300.0
2002-07-01,12851,28.0,70.0,350.0
2002-07-29,8983,28.0,70.0,320.0
2002-08-26,5820,28.0,70.0,280.0
2002-09-30,4946,27.0,70.0,150.0
2002-10-28,4210,25.0,70.0,50.0
2002-11-25,3642,23.0,70.0,15.0
